V1,V2,V3
11.9138755980861,45,-2
12.0813397129187,45,-4
12.2488038277512,45,-5
12.4162679425837,45,-4
12.5837320574163,45,-6
12.7511961722488,45,-24
12.9186602870813,45,-32
13.0861244019139,45,-37
13.2535885167464,45,-39
13.4210526315789,45,-40
13.5885167464115,45,-40
13.755980861244,45,-33
13.9234449760766,45,5
14.0909090909091,45,62
14.2583732057416,45,-33
14.4258373205742,45,103
14.5933014354067,45,62
14.7607655502392,45,-7
14.9282296650718,45,14
15.0956937799043,45,1040
15.2631578947368,45,597
15.4306220095694,45,559
15.5980861244019,45,824
15.7655502392345,45,603
15.933014354067,45,332
16.1004784688995,45,399
16.2679425837321,45,432
16.4354066985646,45,332
16.6028708133971,45,349
16.7703349282297,45,313
16.9377990430622,45,213
17.1052631578947,45,265
17.2727272727273,45,267
17.4401913875598,45,181
17.6076555023923,45,191
17.7751196172249,45,186
17.9425837320574,45,169
18.11004784689,45,213
18.2775119617225,45,178
18.444976076555,45,247
18.6124401913876,45,144
18.7799043062201,45,103
18.9473684210526,45,96
19.1148325358852,45,84
19.2822966507177,45,82
19.4497607655502,45,82
19.6172248803828,45,80
19.7846889952153,45,76
19.9521531100478,45,78
20.1196172248804,45,76
20.2870813397129,45,73
20.4545454545455,45,80
20.622009569378,45,72
20.7894736842105,45,79
20.9569377990431,45,79
21.1244019138756,45,120
21.2918660287081,45,137
21.4593301435407,45,90
21.6267942583732,45,139
21.7942583732057,45,325
21.9617224880383,45,501
22.1291866028708,45,410
22.2966507177034,45,490
22.4641148325359,45,505
22.6315789473684,45,662
22.799043062201,45,550
22.9665071770335,45,443
23.133971291866,45,274
23.3014354066986,45,226
23.4688995215311,45,212
23.6363636363636,45,274
23.8038277511962,45,321
23.9712918660287,45,335
24.1387559808612,45,347
24.3062200956938,45,325
24.4736842105263,45,292
24.6411483253589,45,398
24.8086124401914,45,400
24.9760765550239,45,378
25.1435406698565,45,340
25.311004784689,45,342
25.4784688995215,45,315
25.6459330143541,45,279
25.8133971291866,45,226
25.9808612440191,45,199
26.1483253588517,45,162
26.3157894736842,45,119
26.4832535885167,45,84
26.6507177033493,45,75
26.8181818181818,45,69
26.9856459330144,45,75
27.1531100478469,45,62
27.3205741626794,45,54
27.488038277512,45,48
27.6555023923445,45,42
27.822966507177,45,24
27.9904306220096,45,6
28.1578947368421,45,4
28.3253588516746,45,4
28.4928229665072,45,212
28.6602870813397,45,250
28.8277511961723,45,145
28.9952153110048,45,94
29.1626794258373,45,-4
29.3301435406699,45,-5
29.4976076555024,45,-5
29.6650717703349,45,-3
29.8325358851675,45,-18
30,45,-36
-5,44.8307692307692,-4698
-4.83253588516746,44.8307692307692,-4617
-4.66507177033493,44.8307692307692,-4356
-4.49760765550239,44.8307692307692,-4290
-4.33014354066986,44.8307692307692,-4210
-4.16267942583732,44.8307692307692,-4104
-3.99521531100478,44.8307692307692,-3956
-3.82775119617225,44.8307692307692,-3897
-3.66028708133971,44.8307692307692,-3861
-3.49282296650718,44.8307692307692,-3865
-3.32535885167464,44.8307692307692,-3725
-3.15789473684211,44.8307692307692,-3323
-2.99043062200957,44.8307692307692,-2530
-2.82296650717703,44.8307692307692,-2500
-2.6555023923445,44.8307692307692,-2793
-2.48803827751196,44.8307692307692,-2419
-2.32057416267943,44.8307692307692,-1490
-2.15311004784689,44.8307692307692,-622
-1.98564593301435,44.8307692307692,-113
-1.81818181818182,44.8307692307692,-89
-1.65071770334928,44.8307692307692,-53
-1.48325358851675,44.8307692307692,-39
-1.31578947368421,44.8307692307692,-11
-1.14832535885167,44.8307692307692,6
-0.980861244019138,44.8307692307692,54
-0.813397129186603,44.8307692307692,58
-0.645933014354067,44.8307692307692,42
-0.47846889952153,44.8307692307692,31
-0.311004784688995,44.8307692307692,64
-0.143540669856459,44.8307692307692,74
0.0239234449760772,44.8307692307692,87
0.191387559808613,44.8307692307692,87
0.358851674641149,44.8307692307692,112
0.526315789473685,44.8307692307692,122
0.69377990430622,44.8307692307692,116
0.861244019138756,44.8307692307692,138
1.02870813397129,44.8307692307692,205
1.19617224880383,44.8307692307692,220
1.36363636363636,44.8307692307692,192
1.5311004784689,44.8307692307692,240
1.69856459330144,44.8307692307692,327
1.86602870813397,44.8307692307692,348
2.03349282296651,44.8307692307692,455
2.20095693779904,44.8307692307692,524
2.36842105263158,44.8307692307692,585
2.53588516746412,44.8307692307692,661
2.70334928229665,44.8307692307692,581
2.87081339712919,44.8307692307692,805
3.03827751196172,44.8307692307692,1136
3.20574162679426,44.8307692307692,1177
3.37320574162679,44.8307692307692,1052
3.54066985645933,44.8307692307692,1076
3.70813397129187,44.8307692307692,1179
3.8755980861244,44.8307692307692,1018
4.04306220095694,44.8307692307692,1188
4.21052631578947,44.8307692307692,1193
4.37799043062201,44.8307692307692,857
4.54545454545455,44.8307692307692,698
4.71291866028708,44.8307692307692,456
4.88038277511962,44.8307692307692,205
5.04784688995215,44.8307692307692,281
5.21531100478469,44.8307692307692,436
5.38277511961723,44.8307692307692,595
5.55023923444976,44.8307692307692,799
5.7177033492823,44.8307692307692,1173
5.88516746411483,44.8307692307692,1509
6.05263157894737,44.8307692307692,1329
6.22009569377991,44.8307692307692,1390
6.38755980861244,44.8307692307692,2292
6.55502392344498,44.8307692307692,2221
6.72248803827751,44.8307692307692,1708
6.88995215311005,44.8307692307692,2002
7.05741626794259,44.8307692307692,2341
7.22488038277512,44.8307692307692,1708
7.39234449760766,44.8307692307692,779
7.55980861244019,44.8307692307692,296
7.72727272727273,44.8307692307692,268
7.89473684210526,44.8307692307692,293
8.0622009569378,44.8307692307692,266
8.22966507177034,44.8307692307692,223
8.39712918660287,44.8307692307692,239
8.56459330143541,44.8307692307692,211
8.73205741626794,44.8307692307692,169
8.89952153110048,44.8307692307692,195
9.06698564593302,44.8307692307692,473
9.23444976076555,44.8307692307692,863
9.40191387559809,44.8307692307692,924
9.56937799043062,44.8307692307692,718
9.73684210526316,44.8307692307692,769
9.90430622009569,44.8307692307692,578
10.0717703349282,44.8307692307692,403
10.2392344497608,44.8307692307692,225
10.4066985645933,44.8307692307692,96
10.5741626794258,44.8307692307692,62
10.7416267942584,44.8307692307692,39
10.9090909090909,44.8307692307692,34
11.0765550239234,44.8307692307692,22
11.244019138756,44.8307692307692,16
11.4114832535885,44.8307692307692,14
11.5789473684211,44.8307692307692,11
11.7464114832536,44.8307692307692,-1
11.9138755980861,44.8307692307692,-4
12.0813397129187,44.8307692307692,-3
12.2488038277512,44.8307692307692,-4
12.4162679425837,44.8307692307692,-7
12.5837320574163,44.8307692307692,-21
12.7511961722488,44.8307692307692,-29
12.9186602870813,44.8307692307692,-34
13.0861244019139,44.8307692307692,-40
13.2535885167464,44.8307692307692,-40
13.4210526315789,44.8307692307692,-40
13.5885167464115,44.8307692307692,-41
13.755980861244,44.8307692307692,-40
13.9234449760766,44.8307692307692,-34
14.0909090909091,44.8307692307692,-29
14.2583732057416,44.8307692307692,-40
14.4258373205742,44.8307692307692,26
14.5933014354067,44.8307692307692,44
14.7607655502392,44.8307692307692,-6
14.9282296650718,44.8307692307692,26
15.0956937799043,44.8307692307692,1324
15.2631578947368,44.8307692307692,881
15.4306220095694,44.8307692307692,664
15.5980861244019,44.8307692307692,732
15.7655502392345,44.8307692307692,823
15.933014354067,44.8307692307692,847
16.1004784688995,44.8307692307692,530
16.2679425837321,44.8307692307692,880
16.4354066985646,44.8307692307692,813
16.6028708133971,44.8307692307692,546
16.7703349282297,44.8307692307692,380
16.9377990430622,44.8307692307692,324
17.1052631578947,44.8307692307692,417
17.2727272727273,44.8307692307692,353
17.4401913875598,44.8307692307692,338
17.6076555023923,44.8307692307692,336
17.7751196172249,44.8307692307692,320
17.9425837320574,44.8307692307692,236
18.11004784689,44.8307692307692,230
18.2775119617225,44.8307692307692,218
18.444976076555,44.8307692307692,361
18.6124401913876,44.8307692307692,248
18.7799043062201,44.8307692307692,383
18.9473684210526,44.8307692307692,258
19.1148325358852,44.8307692307692,153
19.2822966507177,44.8307692307692,114
19.4497607655502,44.8307692307692,92
19.6172248803828,44.8307692307692,88
19.7846889952153,44.8307692307692,86
19.9521531100478,44.8307692307692,85
20.1196172248804,44.8307692307692,77
20.2870813397129,44.8307692307692,74
20.4545454545455,44.8307692307692,95
20.622009569378,44.8307692307692,175
20.7894736842105,44.8307692307692,144
20.9569377990431,44.8307692307692,76
21.1244019138756,44.8307692307692,70
21.2918660287081,44.8307692307692,73
21.4593301435407,44.8307692307692,99
21.6267942583732,44.8307692307692,145
21.7942583732057,44.8307692307692,330
21.9617224880383,44.8307692307692,410
22.1291866028708,44.8307692307692,475
22.2966507177034,44.8307692307692,586
22.4641148325359,44.8307692307692,378
22.6315789473684,44.8307692307692,317
