lon;lat
4.053783;43.313578
12.560772;34.463186
4.168311;43.263792
6.788664;43.2928
8.84528;41.66694
8.152222;41.716667
8.62833;42.43722
6.85694;43.08861
7.30139;43.55056
7.3475;43.7025
7.06753611;43.5456611
3.166667;40.333333
7.058103;43.511467
6.121281;43.017489
7.5;43.72722
8.71083;41.85833
6.55278;43.1275
6.396744;42.977625
5.32333;43.27972
8.76917;42.59167
5.5725;43.16194
3.98056;43.51278
5.536881;43.2059
3.945244;43.475508
5.686369;42.267503
3.179728;42.652169
8.647778;41.744444
3.102392;39.985908
6.45025;42.970475
7.27283;43.66464
7.33935;43.68038
7.324342;41.726853
8.735961;41.859222
7.138889;43.602778
8.735961;41.859222
7.5273138;43.75651
7.3775;43.7067
7.21997;43.65177
7.68167;43.87194
6.98611;43.51833
5.23408;43.1974
5.87556;42.80306
5.69261;43.14213
5.616449;43.1640944
7.34577;43.69408
8.796586;41.69564
6.9917;43.5196
7.2842722;43.6912278
3.53361;42.82056
3.50278;42.40056
7.5328777;43.7653194
6.72655;43.3562528
7;43.27583
7.34410555;43.6925833
8.545825;42.2657583
3.34722;41.21556
7.42519444;43.7280917
8.64544;42.28223
7.2333972;43.6714611
6.18537;43.01815
7.36113;43.70128
7.2633972;43.69375
3.4161888;42.6439944
3.1491166;42.5154056
7.434672;43.7348
5.95;42.75
5.95;42.76667
5.96667;42.73333
5.95;42.98333
7.5096444;43.7784889
7.518563;43.7798
8.6896055;42.0358556
7.4975388;43.7444833
6.5452667;43.1462
7.5252111;43.781563
6.5335;42.7742667
6.73831667;43.36175
6.76244;43.741423
8.54361;42.26806
6.6856027;43.3037694
5.6443388;43.13672
8.10294;42.9373
10.2261;41.47
3.05966;40.608
10.2261;41.64216
8.29216;41.726
7.72383;43.3231
5.483666;42.8301
3.870333;42.5268
9.45033;42.696
7.65;43.4
7.1264;43.5376
6.06027;43.053
3.48682;42.4579
6.43396;43.05324
3.3375;42.678
6.06722;43.002
6.2103;43.0025
6.3;43.146
7.5;43.45
3.046275;42.969541
7.8911;43.6241
8.7725;42.7488
6.85682;43.4095
7.3043918;43.6822518
6.0249;43.0235
7.1861;43.6044
5.41423;43.1925
6.01836;43.087
6.89664;43.4254
6.27861;42.999
9.49388;42.8589
7.68;43.5448
9.40886;41.774
8.75013;41.8396
8.63916;42.4191
8.22083;42.4511
7.3119;43.4667
7.89526;42.1105
5.6985851;42.8102244
5.666;42.94
7.28228;42.8498
6.00286;42.8093
5.765;42.9202
8.791719;41.886669
1.21277;39.706249
6.366054;43.049764
6.556905;43.169657
20.21595;39.10574
6.14;42.59
5.77984;42.9589
5.77989;42.93753
5.71544;42.85248
5.75825;42.94065
6.823537722;43.06043737
6.253709374;42.63555132
5.956682721;42.40109746
7.347184047;43.12870827
7.397527099;43.29668504
6.040215343;42.7278621
6.643649004;42.6396209
6.786845606;42.69884944
6.665788377;42.83151494
7.328776466;43.1380416
7.248849068;43.1137355
7.189466385;43.06919667
5.695809312;42.92136861
5.93846214;42.95759829
8.78145;42.57134
11.111909;36.833534
5.956682721;42.40109746
6.823537722;43.06043737
6.80183;42.63938
8.48315109;41.84562976
7.397527099;43.29668504
7.347184047;43.12870827
6.253709374;42.63555132
6.060747653;42.80491987
6.694785403;42.99158125
6.8677158;42.9189529
6.652319;42.542383
6.135463854;42.73927247
7.570336126;43.5367979
7.256207792;43.06038436
8.77333;41.9155
7.30985;43.6807
6.3832;43.1117
6.1166;42.8825
7.46557;42.81908
6.393194;42.98818
8.434397;42.027392
6.672866;43.313084
7.17777;42.6388
6.2736;42.876
8.00031;42.0647
6.47813;43.1534
8.6997;42.562
7.295022;43.683542
7.294593;43.685032
6.202929;43.03253
7.368782;43.698056
8.683372;41.775445
3.2435;42.3521
7.22507;43.65276
7.987208;43.2856
7.722;43.2333
10.085972;42.760954
7.30111;43.6664
7.0803;43.519669
7.332872;43.665892
3.5336;42.411
6.616804032;42.57373433
6.550512565;42.59743516
6.50865485;42.52664488
6.52773357;42.50933034
6.300382409;42.87069485
6.259736633;42.69173556
5.93846214;42.95759829
5.695809312;42.92136861
7.189466385;43.06919667
7.248849068;43.1137355
7.328776466;43.1380416
6.665788377;42.83151494
6.300382409;42.87069485
6.259736633;42.69173556
6.50865485;42.52664488
6.52773357;42.50933034
6.786845606;42.69884944
6.643649004;42.6396209
6.040215343;42.7278621
7.397527099;43.29668504
7.347184047;43.12870827
5.956682721;42.40109746
6.823537722;43.06043737
6.253709374;42.63555132
7.570336126;43.5367979
7.256207792;43.06038436
6.060747653;42.80491987
6.694785403;42.99158125
6.8677158;42.9189529
6.650019251;42.56794997
6.135463854;42.73927247
5.40492232;42.46448766
7.233066782;43.04758607
7.261014059;43.05251723
6.54631298;42.5044646
6.554759843;42.5058231
7.043730821;43.2820243
7.591978032;43.23972469
7.517635915;43.22222197
7.947561247;43.29276814
6.762590641;42.90886989
6.761095226;42.90831216
6.763710715;42.90484787
7.32215669;43.0840546
7.345963139;43.0968562
6.525389655;42.98707346
8.61326;41.8814
7.304303;43.684629
8.11861;41.9366
8.12138;41.835
8.61611;41.6594
8.47083;41.6335
8.47083;41.6335
8.47083;41.6335
8.12194;41.6644
8.157222;41.64916
8.29555;41.7833
8.27027;41.7719
8.2933;41.7641
8.3169;41.7655
8.234722;41.5933
8.23472;41.5933
8.09525;41.5728
8.08305;41.57268
8.06111;41.8522
8.078333;41.7533
8.054722;41.8111
7.96944;41.724
8.00861;41.713
8.267222;41.8169444
8.113611;41.6847
8.113611;41.6847
8.35;41.6877778
8.318888;41.94805
8.318888;41.94805
8.23805;41.8488
8.285833;42.0377
8.522222;41.71666
7.5;43.4666
7.32724;43.67162
7.315016;43.689529
7.5564444;43.454055
7.38566;43.68119
7.4815277;43.47652
7.436166;43.54963
9.62868;42.507267
5.1722;43.3055
8.584323;42.329209
8.540832;41.017617
7.484167;42.5886
4.066944;43.536358
5.6333;42.8667
5.76666;43.0833
5.9667;42.85
5.7333;42.9
5.6833;42.8166
8.4208;41.9862
8.479472;42.16305
8.268327;42.2208
8.702655;41.662223
8.351766;42.20452
5.6167;42.9
5.667;42.9
5.65;42.9
5.666667;42.86667
5.5;42.883
7.0094;42.42694
6.11467;42.8533
5.4078;42.8342
5.6151;42.8168
5.726;42.8132
5.696;42.8358
5.6965;42.8334
5.7013;42.826
5.9093;42.9112
7.106191;43.475625
7.573888889;42.53666667
8.3510975;42.3788181
8.3017661;42.21111
6.003551809;42.67559897
5.526434602;42.92051072
7.705647368;43.48033304
6.662627645;42.91774519
6.281791683;42.68476655
7.130545964;43.31218377
6.918452885;43.07079954
6.860821769;43.10119199
6.824458726;43.11708785
7.101830821;42.91009981
6.741137914;42.62711988
5.989499297;42.89614867
6.343504367;42.95651032
6.465702374;42.29615868
26.05658;40.10827
16.57833;39.63694
15.16535;37.28963
25.848038;40.29534
7.75;43.3333
7.55;43.5333
8.29;41.71194
8.337222;41.7375
8.449444;41.87777
8.303889;42.21555
8.303333;42.21138
8.51;42.1941
8.351388;42.2277
8.351111;42.3797
8.34722;42.255
14.40944;40.58138
17.49388;40.2975
14.394166;40.58333
8.6405555;41.985
3.33611;42.6166
9.45611;40.5813
3.446111;42.71722
5.327542;43.255967
7.573888889;42.53666667
